City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-2.39,68,6,4.92,CA,1683839302
1,thompson,55.7435,-97.8558,21.55,27,36,4.79,CA,1683839302
2,west island,-12.1568,96.8225,28.99,79,75,5.66,CC,1683839302
3,rongelap,11.1635,166.8941,27.28,83,94,7.29,MH,1683839302
4,vernon,50.2581,-119.2691,24.61,29,70,0.64,CA,1683839302
5,manakara,-22.1333,48.0167,21.81,93,100,1.68,MG,1683839303
6,bethel,41.3712,-73.414,27.05,33,75,3.09,US,1683839303
7,bredasdorp,-34.5322,20.0403,13.01,60,100,3.95,ZA,1683839193
8,kapuskasing,49.4169,-82.4331,19.28,63,100,3.12,CA,1683839277
9,invercargill,-46.4,168.35,8.34,95,100,1.34,NZ,1683839195
10,gadzhiyevo,69.2551,33.3362,2.41,100,100,1.95,RU,1683839304
11,nurota,40.5614,65.6886,22.79,30,100,3.08,UZ,1683839304
12,noumea,-22.2763,166.4572,23.33,99,100,5.27,NC,1683839215
13,carauari,-4.8828,-66.8958,25.27,95,99,0.53,BR,1683839073
14,avarua,-21.2078,-159.775,27.03,74,75,8.23,CK,1683839305
15,chonchi,-42.6128,-73.8092,13.4,90,100,0.99,CL,1683839199
16,yellowknife,62.456,-114.3525,19.2,34,1,7.6,CA,1683839305
17,aban,56.67,96.06,4.68,54,80,1.1,RU,1683839305
18,georgetown,5.4112,100.3354,28.96,84,20,0.51,MY,1683839265
19,port-aux-francais,-49.35,70.2167,7.99,91,100,18.16,TF,1683839306
20,grytviken,-54.2811,-36.5092,-4.16,76,12,4.84,GS,1683839306
21,raduzhny,62.0961,77.475,-6.48,76,40,4.15,RU,1683839306
22,naranjo,10.0987,-84.3782,24.37,72,79,0.87,CR,1683839306
23,tiksi,71.6872,128.8694,-11.65,84,98,8.35,RU,1683839306
24,kilju,40.9642,129.3278,10.3,77,100,0.68,KP,1683839306
25,port alfred,-33.5906,26.891,17.32,96,82,0.89,ZA,1683839307
26,tan-tan,28.438,-11.1032,18.44,81,1,5.76,MA,1683839307
27,port mathurin,-19.6833,63.4167,25.48,75,73,9.18,MU,1683839307
28,margaret river,-33.95,115.0667,10.59,73,75,4.22,AU,1683839307
29,puerto natales,-51.7236,-72.4875,7.2,91,100,1.07,CL,1683839308
30,albany,42.6001,-73.9662,25.76,34,4,0.45,US,1683839096
31,tamanrasset,22.785,5.5228,26.95,13,0,5.66,DZ,1683839238
32,waitangi,-43.9535,-176.5597,9.34,85,35,1.34,NZ,1683839308
33,utrik,11.2278,169.8474,27.22,81,94,7.35,MH,1683839308
34,blackmans bay,-43.0167,147.3167,8.19,85,100,2.84,AU,1683839150
35,karasburg,-28.0167,18.75,15.16,40,100,4.07,NA,1683839309
36,weiser,44.251,-116.9693,24.11,32,82,2.24,US,1683839309
37,tindouf,27.6711,-8.1474,31.97,12,28,8.15,DZ,1683839310
38,nar'yan-mar,67.6713,53.087,0.37,98,100,5.06,RU,1683839310
39,chegem vtoroy,43.5958,43.5994,9.9,87,100,2.0,RU,1683839310
40,villa emilio carranza,19.9667,-96.6,30.71,67,13,3.49,MX,1683839310
41,karymskoye,51.6167,114.35,4.17,42,48,3.78,RU,1683839310
42,coquimbo,-29.9533,-71.3436,14.85,88,75,5.14,CL,1683838897
43,smithers,54.7804,-127.1743,19.18,30,40,3.6,CA,1683838517
44,thinadhoo,0.5333,72.9333,28.12,80,86,6.28,MV,1683839311
45,edinburgh of the seven seas,-37.0676,-12.3116,16.69,81,90,10.71,SH,1683839150
46,pitea,65.3172,21.4794,9.05,74,26,1.51,SE,1683839311
47,bilibino,68.0546,166.4372,-0.01,82,100,1.6,RU,1683839185
48,mount pearl,47.5166,-52.7813,9.92,44,14,4.02,CA,1683839292
49,atherton,53.5237,-2.4935,13.27,84,81,0.89,GB,1683839311
50,muisne,0.6,-80.0333,28.24,79,28,3.13,EC,1683839312
51,adamstown,-25.066,-130.1015,21.36,58,92,7.8,PN,1683839312
52,fale old settlement,-9.3852,-171.2468,28.68,78,100,6.27,TK,1683839312
53,haiku-pauwela,20.9219,-156.3051,29.01,45,20,9.26,US,1683839312
54,ulladulla,-35.35,150.4667,11.13,73,2,3.31,AU,1683839312
55,isola di capo rizzuto,38.96,17.0933,15.66,72,0,4.98,IT,1683839313
56,magor,51.5794,-2.8314,12.53,89,100,2.12,GB,1683839313
57,nuuk,64.1835,-51.7216,2.34,93,75,7.72,GL,1683839313
58,atafu village,-8.5421,-172.5159,29.07,77,78,6.56,TK,1683839313
59,quezon,7.7303,125.0989,22.91,94,59,0.83,PH,1683839313
60,ribeira grande,38.5167,-28.7,15.99,82,2,2.24,PT,1683839314
61,bagneres-de-bigorre,43.0667,0.15,8.84,93,75,4.12,FR,1683839314
62,hawaiian paradise park,19.5933,-154.9731,26.73,72,40,4.12,US,1683839314
63,svetlyy yar,48.4748,44.781,7.78,81,5,4.6,RU,1683839314
64,takoradi,4.8845,-1.7554,27.88,82,90,3.73,GH,1683839314
65,ilulissat,69.2167,-51.1,-1.99,80,100,7.72,GL,1683839315
66,badger,64.8,-147.5333,16.14,38,75,5.14,US,1683839315
67,yuzhno-kurilsk,44.0306,145.8556,4.69,78,10,4.36,RU,1683839315
68,the pas,53.8251,-101.2541,24.01,27,0,2.06,CA,1683839035
69,alo,7.4178,6.7371,27.45,75,45,2.45,NG,1683839315
70,i-n-salah,27.1935,2.4607,31.23,13,5,5.22,DZ,1683839315
71,ushuaia,-54.8,-68.3,9.81,57,75,5.14,AR,1683839212
72,ingeniero guillermo n. juarez,-23.9,-61.85,24.03,45,0,2.35,AR,1683839316
73,college,64.8569,-147.8028,16.18,46,75,5.14,US,1683839316
74,orhangazi,40.4892,29.3089,12.74,90,100,2.81,TR,1683839316
75,flin flon,54.7682,-101.865,23.14,29,66,2.47,CA,1683839316
76,ebaye,8.7748,167.7392,29.01,79,40,6.17,MH,1683839316
77,hermanus,-34.4187,19.2345,11.0,70,100,5.64,ZA,1683839317
78,raduzhnyy,62.0961,77.475,-6.48,76,40,4.15,RU,1683839317
79,conde,-7.2597,-34.9075,26.7,74,0,3.6,BR,1683839322
80,tolanaro,-25.0319,46.9987,22.58,91,100,4.59,MG,1683839322
81,kayangel,8.0823,134.7173,28.79,71,89,0.88,PW,1683839323
82,nanning,22.8167,108.3167,19.72,86,100,0.93,CN,1683839323
83,fort bragg,35.139,-79.006,29.0,39,20,3.6,US,1683839323
84,navoiy,40.0844,65.3792,21.71,43,92,5.14,UZ,1683839323
85,yigo village,13.5361,144.8886,27.63,89,40,3.09,GU,1683839323
86,zhicheng,30.2956,111.5047,16.07,87,4,1.22,CN,1683839324
87,boende,-0.2167,20.8667,24.77,74,95,0.3,CD,1683839324
88,coahuayana de hidalgo,18.7,-103.6583,32.24,50,26,3.91,MX,1683839324
89,klucze,50.3357,19.5624,14.02,65,4,6.1,PL,1683839324
90,stanley,54.868,-1.6985,10.29,91,20,2.06,GB,1683839325
91,luau,-10.7073,22.2247,16.64,43,0,2.11,AO,1683839063
92,severo-yeniseyskiy,60.3725,93.0408,-0.78,97,100,1.33,RU,1683839325
93,dahlonega,34.5326,-83.9849,24.58,74,88,2.18,US,1683839160
94,upington,-28.4478,21.2561,15.81,33,97,3.79,ZA,1683839325
95,nova vicosa,-17.8919,-39.3719,24.83,77,91,3.56,BR,1683839326
96,belokurikha,51.9959,84.9896,14.06,71,67,3.87,RU,1683839326
97,sydney,-33.8679,151.2073,12.44,89,20,3.6,AU,1683839229
98,ust-nera,64.5667,143.2,2.63,77,99,1.94,RU,1683839326
99,awjilah,29.1081,21.2869,23.5,39,23,6.13,LY,1683839326
100,aleksandrovskoye,44.7142,43.0008,8.77,81,100,2.22,RU,1683839326
101,hiratacho,35.4333,132.8167,12.28,61,35,3.6,JP,1683839327
102,luanda,-8.8368,13.2343,27.0,89,75,3.6,AO,1683839327
103,chingirlau,51.095,54.0814,11.1,94,100,2.7,KZ,1683839327
104,island harbour,50.724,-1.2758,13.29,92,55,0.45,GB,1683839327
105,tvoroyri,61.5556,-6.8111,9.34,85,0,3.25,FO,1683839327
106,hamilton,39.1834,-84.5333,29.44,38,40,3.6,US,1683839020
107,broome,42.2506,-75.833,25.39,38,20,4.63,US,1683839328
108,shanyang,26.6702,119.2051,14.76,95,100,0.14,CN,1683839328
109,antsohihy,-14.8796,47.9875,22.87,80,0,1.92,MG,1683839328
110,qaqortoq,60.7167,-46.0333,3.76,77,100,1.46,GL,1683839328
111,vilyuchinsk,52.9306,158.4028,2.15,93,99,0.33,RU,1683839328
112,armacao de buzios,-22.7469,-41.8817,22.03,74,100,3.53,BR,1683839328
113,fada,9.5667,8.3,26.28,55,78,0.93,NG,1683839329
114,port lincoln,-34.7333,135.8667,13.82,69,12,4.21,AU,1683839329
115,flying fish cove,-10.4217,105.6791,26.82,94,100,6.69,CX,1683839329
116,fereydunshahr,32.941,50.121,10.07,32,98,1.94,IR,1683839329
117,lompoc,34.6391,-120.4579,23.16,71,75,11.62,US,1683839329
118,la ronge,55.1001,-105.2842,17.19,39,41,2.92,CA,1683839329
119,itigi,-5.7,34.4833,18.52,72,45,2.97,TZ,1683839329
120,jamestown,42.097,-79.2353,23.8,33,0,4.12,US,1683839039
121,helensburgh,56.0061,-4.7265,12.91,91,6,1.22,GB,1683839330
122,vilyuysk,63.7553,121.6247,-0.33,64,4,1.6,RU,1683839262
123,muynoq,43.7683,59.0214,22.48,38,0,3.33,UZ,1683839330
124,gunjur,13.2019,-16.7339,24.04,88,0,3.09,GM,1683839330
125,gembu,6.7,11.2667,17.32,91,75,1.31,NG,1683839330
126,miri,4.4148,114.0089,25.22,91,63,1.68,MY,1683839330
127,geraldton,-28.7667,114.6,13.23,54,21,5.66,AU,1683839268
128,east london,-33.0153,27.9116,19.26,75,100,6.01,ZA,1683839331
129,laguna,38.421,-121.4238,24.68,45,0,4.12,US,1683839209
130,ponta delgada,37.7333,-25.6667,17.4,88,75,5.14,PT,1683839331
131,kuanda,56.3161,116.0806,-1.01,86,76,1.91,RU,1683839331
132,christchurch,-43.5333,172.6333,10.18,82,100,2.06,NZ,1683839132
133,la passe,45.5549,-0.8967,13.88,81,10,4.21,FR,1683839331
134,vadso,70.0744,29.7487,7.49,87,0,1.03,NO,1683839331
135,barpathar,26.3,93.8667,22.97,61,48,1.07,IN,1683839332
136,klyuchi,52.2667,79.1667,9.9,67,96,3.54,RU,1683839332
137,tobelo,1.7284,128.0095,26.68,84,100,0.93,ID,1683839127
138,katsuura,35.1333,140.3,16.0,64,100,2.59,JP,1683839332
139,gaiman,-43.2897,-65.4929,19.26,38,10,4.01,AR,1683839332
140,east wenatchee bench,47.4257,-120.2812,25.6,33,0,2.06,US,1683839332
141,cromwell,41.5951,-72.6454,28.06,27,20,4.63,US,1683839264
142,saipan,15.1355,145.701,28.39,100,75,3.58,MP,1683839333
143,fortuna,40.5982,-124.1573,14.25,84,100,5.66,US,1683839333
144,linhares,-19.3911,-40.0722,23.49,83,100,2.21,BR,1683839142
145,nalut,30.3333,10.85,23.41,24,0,5.11,LY,1683839333
146,conceicao do mato dentro,-19.0372,-43.425,23.95,57,100,1.17,BR,1683839333
147,polyarnyy,69.1989,33.4478,3.19,99,100,2.06,RU,1683839333
148,tofol,5.3248,163.0078,26.44,83,98,1.62,FM,1683839334
149,estevan,49.1334,-102.9842,22.19,53,100,6.24,CA,1683839334
150,fort st. john,56.2499,-120.8529,21.31,31,29,1.82,CA,1683839217
151,olonkinbyen,70.9221,-8.7187,-0.42,80,58,4.58,SJ,1683839334
152,ballito,-29.539,31.2144,20.07,82,2,6.51,ZA,1683839334
153,camarinas,43.1311,-9.1817,14.4,78,5,6.79,ES,1683839334
154,puerto ayora,-0.7393,-90.3518,27.98,92,87,4.02,EC,1683839200
